trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
101,False,"{'a': 0.5, 'e': 0.5202499999999968}",30,12,-30.714073446530254,"{0: 10, 1: 6, 2: 2, 3: 0, 4: 0}",1
102,False,"{'a': 0.5, 'e': 0.5154999999999967}",20,9,-19.11637244456827,"{0: 7, 1: 2, 2: 2, 3: 0, 4: 0}",1
103,False,"{'a': 0.5, 'e': 0.5107499999999967}",25,16,-21.074284354433605,"{0: 5, 1: 2, 2: 2, 3: 0, 4: 0}",1
104,False,"{'a': 0.5, 'e': 0.5059999999999967}",25,12,7.676398698303642,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
105,False,"{'a': 0.5, 'e': 0.5012499999999966}",30,16,-31.223463522744648,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
106,False,"{'a': 0.5, 'e': 0.49649999999999667}",20,13,-27.098815807728418,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
107,False,"{'a': 0.5, 'e': 0.4917499999999967}",20,7,-59.97610850917383,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 2}",1
108,False,"{'a': 0.5, 'e': 0.4869999999999967}",20,11,-1.1038316788449276,"{0: 7, 1: 2, 2: 0, 3: 0, 4: 0}",1
109,False,"{'a': 0.5, 'e': 0.48224999999999674}",30,16,-39.29141768408748,"{0: 10, 1: 2, 2: 1, 3: 0, 4: 1}",1
110,False,"{'a': 0.5, 'e': 0.47749999999999676}",25,7,-59.64958327022262,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 1}",1
111,False,"{'a': 0.5, 'e': 0.4727499999999968}",20,3,4.126435680641044,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 0}",1
112,False,"{'a': 0.5, 'e': 0.4679999999999968}",20,4,-70.29073438659026,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 2}",1
113,False,"{'a': 0.5, 'e': 0.46324999999999683}",20,5,-19.115003137425106,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 0}",1
114,False,"{'a': 0.5, 'e': 0.45849999999999685}",20,6,16.85196735584413,"{0: 12, 1: 2, 2: 0, 3: 0, 4: 0}",1
115,False,"{'a': 0.5, 'e': 0.4537499999999969}",25,13,-11.269835596802963,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
116,False,"{'a': 0.5, 'e': 0.4489999999999969}",25,15,-21.893082313826987,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
117,False,"{'a': 0.5, 'e': 0.4442499999999969}",25,3,-6.096944575243725,"{0: 16, 1: 5, 2: 1, 3: 0, 4: 0}",1
118,False,"{'a': 0.5, 'e': 0.43949999999999695}",20,12,5.071854978582853,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
119,False,"{'a': 0.5, 'e': 0.43474999999999697}",30,14,-10.275977999642322,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 0}",1
120,False,"{'a': 0.5, 'e': 0.429999999999997}",20,6,-0.17301386145507536,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
121,False,"{'a': 0.5, 'e': 0.425249999999997}",30,18,-12.779105137523253,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 0}",1
122,False,"{'a': 0.5, 'e': 0.42049999999999704}",25,15,-36.87640389746922,"{0: 7, 1: 2, 2: 0, 3: 0, 4: 1}",1
123,False,"{'a': 0.5, 'e': 0.41574999999999707}",25,13,-31.79492135429528,"{0: 9, 1: 2, 2: 0, 3: 0, 4: 1}",1
